index,day_date
2020-08-23,7
2020-08-14,7
2020-10-23,6
2020-10-11,6
2020-10-07,6
2020-10-12,6
2020-08-12,6
2020-10-06,6
2020-08-30,6
2020-09-27,6
2020-09-30,6
2021-04-24,5
2020-10-17,5
2020-10-10,5
2021-03-27,5
2020-09-23,5
2021-01-25,5
2020-10-19,5
2020-10-01,5
2020-09-12,4
2021-03-18,4
2020-10-04,4
2020-08-27,4
2020-08-20,4
2020-09-10,4
2020-10-20,3
2021-03-22,2
2020-08-15,2
2020-09-21,1
